ID,대출등급
TEST_00787,B
TEST_00788,E
TEST_00789,A
TEST_00790,B
TEST_00791,B
TEST_00792,C
TEST_00793,C
TEST_00794,D
TEST_00795,E
TEST_00796,C
TEST_00797,C
TEST_00798,A
TEST_00799,B
TEST_00800,F
TEST_00801,C
TEST_00802,B
TEST_00803,A
TEST_00804,E
TEST_00805,B
TEST_00806,C
TEST_00807,C
TEST_00808,B
TEST_00809,B
TEST_00810,C
TEST_00811,C
TEST_00812,D
TEST_00813,D
TEST_00814,D
TEST_00815,A
TEST_00816,D
TEST_00817,B
TEST_00818,C
TEST_00819,C
TEST_00820,E
TEST_00821,B
TEST_00822,D
TEST_00823,C
TEST_00824,A
TEST_00825,B
TEST_00826,C
TEST_00827,D
TEST_00828,C
TEST_00829,B
TEST_00830,A
TEST_00831,E
TEST_00832,C
TEST_00833,A
TEST_00834,B
TEST_00835,B
TEST_00836,E
TEST_00837,D
TEST_00838,B
TEST_00839,B
TEST_00840,A
TEST_00841,C
TEST_00842,C
TEST_00843,B
TEST_00844,B
TEST_00845,B
TEST_00846,C
TEST_00847,A
TEST_00848,B
TEST_00849,B
TEST_00850,B
TEST_00851,C
TEST_00852,C
TEST_00853,F
TEST_00854,B
TEST_00855,C
TEST_00856,D
TEST_00857,A
TEST_00858,E
TEST_00859,C
TEST_00860,B
TEST_00861,B
TEST_00862,E
TEST_00863,A
TEST_00864,C
TEST_00865,B
TEST_00866,C
TEST_00867,C
TEST_00868,C
TEST_00869,D
TEST_00870,C
TEST_00871,B
TEST_00872,B
TEST_00873,B
TEST_00874,A
TEST_00875,B
TEST_00876,B
TEST_00877,C
TEST_00878,B
TEST_00879,B
TEST_00880,C
TEST_00881,D
TEST_00882,A
TEST_00883,C
TEST_00884,A
TEST_00885,D
TEST_00886,B
TEST_00887,B
TEST_00888,D
TEST_00889,B
TEST_00890,A
TEST_00891,C
TEST_00892,A
TEST_00893,C
TEST_00894,D
TEST_00895,E
TEST_00896,B
TEST_00897,E
TEST_00898,D
TEST_00899,C
TEST_00900,E
TEST_00901,C
TEST_00902,B
TEST_00903,A
TEST_00904,C
TEST_00905,B
TEST_00906,C
TEST_00907,D
TEST_00908,B
TEST_00909,A
TEST_00910,A
TEST_00911,C
TEST_00912,B
TEST_00913,A
TEST_00914,A
TEST_00915,C
TEST_00916,D
TEST_00917,D
TEST_00918,C
TEST_00919,G
TEST_00920,C
TEST_00921,D
TEST_00922,D
TEST_00923,D
TEST_00924,B
TEST_00925,D
TEST_00926,F
TEST_00927,C
TEST_00928,D
TEST_00929,B
TEST_00930,C
TEST_00931,C
TEST_00932,E
TEST_00933,C
TEST_00934,C
TEST_00935,D
TEST_00936,D
TEST_00937,F
TEST_00938,D
TEST_00939,C
TEST_00940,A
TEST_00941,A
TEST_00942,B
TEST_00943,E
TEST_00944,A
TEST_00945,A
TEST_00946,B
TEST_00947,A
TEST_00948,A
TEST_00949,B
TEST_00950,C
TEST_00951,D
TEST_00952,D
TEST_00953,C
TEST_00954,B
TEST_00955,E
TEST_00956,A
TEST_00957,C
TEST_00958,F
TEST_00959,C
TEST_00960,B
TEST_00961,C
TEST_00962,A
TEST_00963,A
TEST_00964,B
TEST_00965,B
TEST_00966,A
TEST_00967,C
TEST_00968,C
TEST_00969,B
TEST_00970,D
TEST_00971,A
TEST_00972,A
TEST_00973,B
TEST_00974,B
TEST_00975,D
TEST_00976,A
TEST_00977,B
TEST_00978,C
TEST_00979,B
TEST_00980,A
TEST_00981,C
TEST_00982,B
TEST_00983,B
TEST_00984,B
TEST_00985,C
TEST_00986,A
TEST_00987,C
TEST_00988,B
TEST_00989,C
TEST_00990,D
TEST_00991,B
TEST_00992,C
TEST_00993,B
TEST_00994,C
TEST_00995,C
TEST_00996,A
TEST_00997,B
TEST_00998,B
TEST_00999,C
TEST_01000,C
TEST_01001,A
TEST_01002,A
TEST_01003,A
TEST_01004,D
TEST_01005,C
TEST_01006,C
TEST_01007,F
TEST_01008,B
TEST_01009,C
TEST_01010,E
TEST_01011,A
TEST_01012,B
TEST_01013,C
TEST_01014,A
TEST_01015,C
TEST_01016,D
TEST_01017,A
TEST_01018,B
TEST_01019,B
TEST_01020,B
TEST_01021,B
TEST_01022,D
TEST_01023,B
TEST_01024,C
TEST_01025,B
TEST_01026,C
TEST_01027,A
TEST_01028,B
TEST_01029,B
TEST_01030,C
TEST_01031,C
TEST_01032,A
TEST_01033,A
TEST_01034,B
TEST_01035,E
TEST_01036,D
TEST_01037,A
TEST_01038,B
TEST_01039,C
TEST_01040,C
TEST_01041,B
TEST_01042,B
TEST_01043,B
TEST_01044,D
TEST_01045,B
TEST_01046,C
TEST_01047,C
TEST_01048,A
TEST_01049,B
TEST_01050,B
TEST_01051,D
TEST_01052,D
TEST_01053,B
TEST_01054,A
TEST_01055,C
TEST_01056,B
TEST_01057,B
TEST_01058,D
TEST_01059,B
TEST_01060,D
TEST_01061,A
TEST_01062,A
TEST_01063,C
TEST_01064,C
TEST_01065,A
TEST_01066,E
TEST_01067,E
TEST_01068,B
TEST_01069,B
TEST_01070,C
TEST_01071,D
TEST_01072,B
TEST_01073,C
TEST_01074,C
TEST_01075,A
TEST_01076,D
TEST_01077,C
TEST_01078,C
TEST_01079,D
TEST_01080,A
TEST_01081,D
TEST_01082,B
TEST_01083,C
TEST_01084,C
TEST_01085,D
TEST_01086,C
TEST_01087,A
TEST_01088,B
TEST_01089,D
TEST_01090,E
TEST_01091,B
TEST_01092,D
TEST_01093,B
TEST_01094,B
TEST_01095,D
TEST_01096,B
TEST_01097,A
TEST_01098,C
TEST_01099,C
TEST_01100,B
TEST_01101,C
TEST_01102,C
TEST_01103,C
TEST_01104,C
TEST_01105,E
TEST_01106,D
TEST_01107,B
TEST_01108,A
TEST_01109,C
TEST_01110,A
TEST_01111,B
TEST_01112,B
TEST_01113,B
TEST_01114,B
TEST_01115,C
TEST_01116,D
TEST_01117,E
TEST_01118,A
TEST_01119,D
TEST_01120,F
TEST_01121,C
TEST_01122,C
TEST_01123,B
TEST_01124,C
TEST_01125,E
TEST_01126,D
TEST_01127,A
TEST_01128,A
TEST_01129,B
TEST_01130,D
TEST_01131,B
TEST_01132,F
TEST_01133,D
TEST_01134,B
TEST_01135,B
TEST_01136,B
TEST_01137,C
TEST_01138,C
TEST_01139,A
TEST_01140,B
TEST_01141,C
TEST_01142,B
TEST_01143,F
TEST_01144,C
TEST_01145,C
TEST_01146,D
TEST_01147,C
TEST_01148,B
TEST_01149,D
TEST_01150,B
TEST_01151,B
TEST_01152,A
TEST_01153,C
TEST_01154,D
TEST_01155,C
TEST_01156,E
TEST_01157,D
TEST_01158,B
TEST_01159,E
TEST_01160,A
TEST_01161,C
TEST_01162,D
TEST_01163,B
TEST_01164,A
TEST_01165,B
TEST_01166,B
TEST_01167,B
TEST_01168,D
TEST_01169,B
TEST_01170,B
TEST_01171,A
TEST_01172,A
TEST_01173,C
TEST_01174,B
TEST_01175,A
TEST_01176,E
TEST_01177,C
TEST_01178,C
TEST_01179,B
TEST_01180,C
TEST_01181,A
TEST_01182,D
TEST_01183,C
TEST_01184,B
TEST_01185,B
TEST_01186,B
TEST_01187,A
TEST_01188,C
TEST_01189,C
TEST_01190,A
TEST_01191,A
TEST_01192,A
TEST_01193,E
TEST_01194,D
TEST_01195,D
TEST_01196,A
TEST_01197,D
TEST_01198,E
TEST_01199,A
TEST_01200,A
TEST_01201,B
TEST_01202,C
TEST_01203,C
TEST_01204,C
TEST_01205,C
TEST_01206,A
TEST_01207,B
TEST_01208,C
TEST_01209,E
TEST_01210,A
TEST_01211,C
TEST_01212,A
TEST_01213,B
TEST_01214,B
TEST_01215,C
TEST_01216,E
TEST_01217,D
TEST_01218,B
TEST_01219,B
TEST_01220,C
TEST_01221,F
TEST_01222,E
TEST_01223,G
TEST_01224,A
TEST_01225,C
TEST_01226,C
TEST_01227,C
TEST_01228,A
TEST_01229,C
TEST_01230,B
TEST_01231,B
TEST_01232,E
TEST_01233,C
TEST_01234,C
TEST_01235,B
TEST_01236,D
TEST_01237,A
TEST_01238,A
TEST_01239,D
TEST_01240,B
TEST_01241,B
TEST_01242,B
TEST_01243,B
TEST_01244,E
TEST_01245,D
TEST_01246,B
TEST_01247,B
TEST_01248,A
TEST_01249,B
TEST_01250,E
TEST_01251,C
TEST_01252,D
TEST_01253,A
TEST_01254,B
TEST_01255,D
TEST_01256,A
TEST_01257,C
TEST_01258,F
TEST_01259,D
TEST_01260,A
TEST_01261,D
TEST_01262,G
TEST_01263,A
TEST_01264,C
TEST_01265,A
TEST_01266,A
TEST_01267,B
TEST_01268,E
TEST_01269,B
TEST_01270,C
TEST_01271,A
TEST_01272,B
TEST_01273,C
TEST_01274,B
TEST_01275,C
TEST_01276,C
TEST_01277,C
TEST_01278,C
TEST_01279,E
TEST_01280,A
TEST_01281,D
TEST_01282,E
TEST_01283,C
TEST_01284,A
TEST_01285,D
TEST_01286,B
TEST_01287,C
TEST_01288,C
TEST_01289,B
TEST_01290,A
TEST_01291,C
TEST_01292,A
TEST_01293,B
TEST_01294,E
TEST_01295,D
TEST_01296,B
TEST_01297,B
TEST_01298,C
TEST_01299,C
TEST_01300,B
TEST_01301,C
TEST_01302,B
TEST_01303,A
TEST_01304,D
TEST_01305,D
TEST_01306,B
TEST_01307,B
TEST_01308,B
TEST_01309,A
TEST_01310,A
TEST_01311,B
TEST_01312,C
TEST_01313,D
TEST_01314,C
TEST_01315,C
TEST_01316,B
TEST_01317,C
TEST_01318,D
TEST_01319,A
TEST_01320,C
TEST_01321,C
TEST_01322,C
TEST_01323,E
TEST_01324,C
TEST_01325,E
TEST_01326,C
TEST_01327,B
TEST_01328,A
TEST_01329,C
TEST_01330,B
TEST_01331,C
TEST_01332,E
TEST_01333,C
TEST_01334,B
TEST_01335,C
TEST_01336,D
TEST_01337,E
TEST_01338,B
TEST_01339,D
TEST_01340,E
TEST_01341,C
TEST_01342,A
TEST_01343,B
TEST_01344,F
TEST_01345,B
TEST_01346,B
TEST_01347,A
TEST_01348,A
TEST_01349,B
TEST_01350,C
TEST_01351,D
TEST_01352,A
TEST_01353,B
TEST_01354,C
TEST_01355,B
TEST_01356,B
TEST_01357,A
TEST_01358,A
TEST_01359,B
TEST_01360,B
TEST_01361,C
TEST_01362,E
TEST_01363,B
TEST_01364,A
TEST_01365,B
TEST_01366,D
TEST_01367,B
TEST_01368,C
TEST_01369,B
TEST_01370,E
TEST_01371,C
TEST_01372,B
TEST_01373,C
TEST_01374,A
TEST_01375,A
TEST_01376,B
TEST_01377,C
TEST_01378,D
TEST_01379,G
TEST_01380,B
TEST_01381,B
TEST_01382,A
TEST_01383,A
TEST_01384,C
TEST_01385,D
TEST_01386,D
TEST_01387,C
TEST_01388,A
TEST_01389,B
TEST_01390,E
TEST_01391,A
TEST_01392,A
TEST_01393,D
TEST_01394,C
TEST_01395,B
TEST_01396,B
TEST_01397,C
TEST_01398,B
TEST_01399,C
TEST_01400,B
TEST_01401,A
TEST_01402,A
TEST_01403,B
TEST_01404,B
TEST_01405,B
TEST_01406,D
TEST_01407,A
TEST_01408,C
TEST_01409,C
TEST_01410,D
TEST_01411,A
TEST_01412,D
TEST_01413,B
TEST_01414,D
TEST_01415,B
TEST_01416,D
TEST_01417,C
TEST_01418,B
TEST_01419,C
TEST_01420,B
TEST_01421,B
TEST_01422,A
TEST_01423,C
TEST_01424,B
TEST_01425,C
TEST_01426,B
TEST_01427,C
TEST_01428,B
TEST_01429,D
TEST_01430,E
TEST_01431,A
TEST_01432,C
TEST_01433,B
TEST_01434,A
TEST_01435,D
TEST_01436,C
TEST_01437,B
TEST_01438,B
TEST_01439,A
TEST_01440,D
TEST_01441,C
TEST_01442,B
TEST_01443,A
TEST_01444,A
TEST_01445,C
TEST_01446,E
TEST_01447,F
TEST_01448,A
TEST_01449,C
TEST_01450,C
TEST_01451,C
TEST_01452,D
TEST_01453,E
TEST_01454,B
TEST_01455,B
TEST_01456,A
TEST_01457,C
TEST_01458,G
TEST_01459,A
TEST_01460,C
TEST_01461,C
TEST_01462,B
TEST_01463,E
TEST_01464,E
TEST_01465,C
TEST_01466,C
TEST_01467,D
TEST_01468,D
TEST_01469,D
TEST_01470,A
TEST_01471,B
TEST_01472,A
TEST_01473,C
TEST_01474,C
TEST_01475,B
TEST_01476,C
TEST_01477,C
TEST_01478,B
TEST_01479,C
TEST_01480,D
TEST_01481,B
TEST_01482,C
TEST_01483,B
TEST_01484,B
TEST_01485,C
TEST_01486,A
TEST_01487,B
TEST_01488,B
TEST_01489,C
TEST_01490,C
TEST_01491,C
TEST_01492,A
TEST_01493,C
TEST_01494,D
TEST_01495,B
TEST_01496,D
TEST_01497,C
TEST_01498,B
TEST_01499,B
TEST_01500,C
TEST_01501,A
TEST_01502,A
TEST_01503,B
TEST_01504,D
TEST_01505,C
TEST_01506,C
TEST_01507,B
TEST_01508,B
TEST_01509,B
TEST_01510,A
TEST_01511,A
TEST_01512,B
TEST_01513,C
TEST_01514,B
TEST_01515,E
TEST_01516,D
TEST_01517,B
TEST_01518,A
TEST_01519,F
TEST_01520,A
TEST_01521,D
TEST_01522,B
TEST_01523,B
TEST_01524,F
TEST_01525,B
TEST_01526,B
TEST_01527,B
TEST_01528,D
TEST_01529,B
TEST_01530,D
TEST_01531,B
TEST_01532,E
TEST_01533,C
TEST_01534,B
TEST_01535,C
TEST_01536,A
TEST_01537,B
TEST_01538,A
TEST_01539,C
TEST_01540,G
TEST_01541,B
TEST_01542,A
TEST_01543,B
TEST_01544,B
TEST_01545,A
TEST_01546,C
TEST_01547,B
TEST_01548,B
TEST_01549,E
TEST_01550,A
TEST_01551,C
TEST_01552,A
